,state,term,outcome,croscor,lagd
91,Alabama,social distancing,daily_vaccinations,-0.028778075,-14
92,Alabama,social distancing,daily_vaccinations,0.078954454,-13
93,Alabama,social distancing,daily_vaccinations,0.040629097,-12
94,Alabama,social distancing,daily_vaccinations,-0.00634404,-11
95,Alabama,social distancing,daily_vaccinations,-0.048299875,-10
96,Alabama,social distancing,daily_vaccinations,-0.10032776,-9
97,Alabama,social distancing,daily_vaccinations,-0.07683405,-8
98,Alabama,social distancing,daily_vaccinations,-0.033749332,-7
99,Alabama,social distancing,daily_vaccinations,-0.189206879,-6
100,Alabama,social distancing,daily_vaccinations,0.0184057,-5
101,Alabama,social distancing,daily_vaccinations,-0.034875512,-4
102,Alabama,social distancing,daily_vaccinations,-0.090924827,-3
103,Alabama,social distancing,daily_vaccinations,0.176928671,-2
104,Alabama,social distancing,daily_vaccinations,0.077663813,-1
105,Alabama,social distancing,daily_vaccinations,0.127958183,0
106,Alabama,social distancing,daily_vaccinations_per_million,-0.028703472,-14
107,Alabama,social distancing,daily_vaccinations_per_million,0.078478675,-13
108,Alabama,social distancing,daily_vaccinations_per_million,0.041332519,-12
109,Alabama,social distancing,daily_vaccinations_per_million,-0.006681839,-11
110,Alabama,social distancing,daily_vaccinations_per_million,-0.047903149,-10
111,Alabama,social distancing,daily_vaccinations_per_million,-0.100330043,-9
112,Alabama,social distancing,daily_vaccinations_per_million,-0.077005041,-8
113,Alabama,social distancing,daily_vaccinations_per_million,-0.033274807,-7
114,Alabama,social distancing,daily_vaccinations_per_million,-0.189581595,-6
115,Alabama,social distancing,daily_vaccinations_per_million,0.018679927,-5
116,Alabama,social distancing,daily_vaccinations_per_million,-0.034864769,-4
117,Alabama,social distancing,daily_vaccinations_per_million,-0.091127162,-3
118,Alabama,social distancing,daily_vaccinations_per_million,0.177025457,-2
119,Alabama,social distancing,daily_vaccinations_per_million,0.077376761,-1
120,Alabama,social distancing,daily_vaccinations_per_million,0.128057538,0
121,Alabama,vaccine,daily_vaccinations,-0.05241086,-14
122,Alabama,vaccine,daily_vaccinations,0.088865992,-13
123,Alabama,vaccine,daily_vaccinations,0.033521279,-12
124,Alabama,vaccine,daily_vaccinations,0.041869866,-11
125,Alabama,vaccine,daily_vaccinations,0.19193661,-10
126,Alabama,vaccine,daily_vaccinations,-0.023814375,-9
127,Alabama,vaccine,daily_vaccinations,0.089037873,-8
128,Alabama,vaccine,daily_vaccinations,0.013036365,-7
129,Alabama,vaccine,daily_vaccinations,0.027242554,-6
130,Alabama,vaccine,daily_vaccinations,0.021475159,-5
131,Alabama,vaccine,daily_vaccinations,-0.016505485,-4
132,Alabama,vaccine,daily_vaccinations,0.124857443,-3
133,Alabama,vaccine,daily_vaccinations,-0.027820127,-2
134,Alabama,vaccine,daily_vaccinations,0.323347577,-1
135,Alabama,vaccine,daily_vaccinations,0.00842903,0
136,Alabama,vaccine,daily_vaccinations_per_million,-0.053063677,-14
137,Alabama,vaccine,daily_vaccinations_per_million,0.089289434,-13
